Job Title,Description,District,Work Mode
Software Engineer Senior,"Centro, empresa de Tecnología, perteneciente al Grupo Gloria, como parte de su plan de crecimiento, se encuentra en la búsqueda de los mejores talentos para ocupar la posición de: Software Engineer Senior Misión: Responsable del desarrollo, mantenimiento y soporte a Aplicaciones Web & Mobile tanto a nivel de BackEnd y FrontEnd. Analisis técnico, sinergias con seguridad de la información, Arquitectura e infraestructura y elaborar propuesta de como desarrollar soluciones digitales escalables y robustas. Se debe garantizar la continuidad y persistencia principalmente de la solución de facturación electronica del Grupo, asi como otras soluciones relacionadas. Funciones: Desarrollar tanto el BackEnd y FrontEnd de las aplicaciones Web & Mobile. Diseño y desarrollo de base de datos relacional. Ma",La Victoria,Presencial
Programador Frontend Senior,"Vive la experiencia SONDA ¡Aquí transformas tu carrera! ¿Por qué ser parte de SONDA? Porque al igual que tú, amamos lo que hacemos, tenemos pasión por la innovación y estamos convencidos de que a través del conocimiento y de la tecnología no solo vamos a transformar los negocios de nuestros clientes, sino también el futuro. En SONDA vivirás una experiencia de trabajo con diversas oportunidades de desarrollo personal y profesional. Un excelente lugar para aprender y contribuir a mejorar la calidad de vida de las personas por medio de la tecnología. Buscamos a un/a Desarrollador Frontend Senior que quiera aprender y transformar su carrera, con el siguiente perfil: Lo que harás: Participarás en el desarrollo de aplicaciones Frontend de alto impacto. Colaborarás en arquitecturas basadas en mic",Lima,Remoto
Analista Programador Java,"Analista Programador Java Resumen del Puesto Estamos buscando un Analista Programador Java con experiencia para unirse a nuestro equipo. El candidato ideal tendrá un sólido conocimiento de Java y experiencia en el desarrollo de aplicaciones. Buscamos una persona con disponibilidad para trabajar y colaborar en proyectos desafiantes. Responsabilidades Diseñar, desarrollar y mantener aplicaciones utilizando Java. Analizar los requisitos del sistema y diseñar soluciones eficientes. Colaborar con otros desarrolladores y equipos para entregar productos de alta calidad. Realizar pruebas y depuración de aplicaciones. Documentar el código y los procesos de desarrollo. Requisitos Título en Ciencias de la Computación o campo relacionado. Experiencia demostrable en programación Java. Conocimiento de f",Lima,Presencial
Analista Programador Postgre/Oracle/Híbrido,"Por encargo de nuestro cliente, importante empresa líder en finanzas, nos encontramos encuentra en búsqueda de: (1) Analista Programador Postgre/Oracle Requisitos Universitario de Ingeniería de Sistemas, Informática, o afines Experiencia de 3 años en puestos similares como mínimo Experiencia realizando labores de Analista de Sistemas Desarrollador Oracle (PL/SQL) nivel avanzado, store procedures, funciones, packages Desarrollador BD PostgreSQL nivel avanzado Experiencia realizando tuning de Base de Datos Conocimiento en Oracle Data Integrator (ODI) Experiencia en GCP, Cloud Composer, Cloud Storage, Cloud Functions, Data Funciton, Data low Modelamiento de Base de Datos Recomendable que haya realizado labores como Analista Fullstack Funciones: Diseñar, analizar y desarrollar soluciones en la",San Borja,Híbrido
Analista Programador - Sede ATE,"¡Buscamos a nuestro próximo/a Analista Programador! ¿Te apasiona el desarrollo web y quieres crecer en un equipo innovador? ¡Esta oportunidad es para ti! ✅ Lo que harás: · Analizar, diseñar e implementar aplicaciones web alineadas a las necesidades del negocio. · Documentar de forma clara las soluciones implementadas. · Trabajar en equipo con otros programadores para desplegar y respaldar código. · Detectar y resolver errores en aplicaciones existentes. · Aportar ideas a iniciativas de mejora continua del área TI. ✅ Lo que buscamos: · Egresado/a o bachiller en Ingeniería de Sistemas, Informática, Software o afines. · Experiencia mínima de 2 años en desarrollo web full stack. · Dominio de Python y React. · Manejo de bases de datos relacionales: SQL Server, MySQL u otros. ✅ Lo que ofrecemos:",Ate,Presencial
Trainee Programador Jr,"Perfil de Desarrollador/ Programador Junior Requisitos: Carreras universitarias sistemas a fines. (Egresado - Bachiller) Programación en Java, .NET u otros. Alta capacidad analítica Alto grado de manejo de algoritmos Disponibilidad de trabajo presencial Beneficios Línea de carrera Capacitaciones EPS al 100% Trabajo bajo planilla",Miraflores,Presencial
"Desarrollador Full Stack Node.js, C#, Java, AngularJS","Puesto: Desarrollador Full Stack Senior 📍 Modalidad de trabajo: Híbrido 📍 Sede: Surco Requisitos: Educación mínima: Ingeniería de Sistemas, Desarrollo de Software o carreras afines Experiencia: mínimo 5 años en desarrollo de software Conocimientos sólidos en: Bases de datos: PostgreSQL, MySQL, SQL Lenguajes y frameworks: Node.js, C#, Java, AngularJS Arquitectura: Microservicios Competencias valoradas: Capacidad de análisis y resolución de problemas Trabajo en equipo y comunicación efectiva Proactividad y orientación a resultados Ofrecemos: Participación en proyectos desafiantes e innovadores Ambiente colaborativo y en constante aprendizaje Plan de desarrollo profesional",Lima,Híbrido
Practicante pre profesional de automatización,"🌟 ¡LANZA TU CARRERA EN TECNOLOGÍA CON NOSOTROS! 🌟 En Canvia estamos buscando un(a) Practicante pre profesional de automatización con ganas de aprender, aportar y crecer en una empresa que lidera la transformación digital en el país. 💻🚀 👨‍💻 ¿Qué harás en el día a día? Usar herramientas de automatización Automatizar procesos internos Documentar procesos, flujos y buenas prácticas para asegurar continuidad operativa. Apoyo en desarrollo de software y automatizaciones 🎓 ¿Qué perfil buscamos? Egresado(a) técnico o universitario(a) en carreras afines a Tecnología de la Información. Con iniciativa, buena comunicación, ganas de aprender y vocación de servicio. Modalidad: Remoto 🕒 Horario: Lunes a viernes 9am - 6pm Te ofrecemos: Subvención de acuerdo a ley Seguro FOLA Planilla de acuerdo a ley Dia ",Cercado De Lima,Remoto
Analista Programador Fullstack Java,"¡En Hitss, empresa de tecnología con más de 36 años de experiencia ofreciendo soluciones innovadoras en América Latina, USA y EUROPA, nos encontramos en la búsqueda de nuestro próximo ANALISTA PROGRAMADOR JAVA/ANGULAR! REQUISITOS: Bachiller o titulado de Ingeniería de Sistemas, Informática, o carreras afines. SKILSS TÉCNICOS: Experiencia en Java 7 o superior usando frameworks Angular versión 8 o superior (intermedio/avanzado). Spring (intermedio/avanzado), Hibernate (Intermedio),Primefaces (Intermedio). Experiencia en entorno Azure (Servicios en la nube y despliegue). Desarrollo de Webservices REST y SOAP (intermedio). Microservicios (Spring webflux que va de la mano con microservicios). Experiencia en Oracle PLSQL (intermedio). Inglès a nivel intermedio (B1 como mínimo).",La Victoria,Remoto
Desarrollador Genexus - Remoto,"SOFTWARE ENTERPRISE SERVICES Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición: DESARROLLADOR GENEXUS Requisitos: Universitario Egresado, Titulado, Bachiller o Técnico Egresado, Titulado Carreras de Ingeniería de Sistemas, de Software, Informática, Computación o afines Experiencia de 3 a 5 años mínimo de experiencia Genexus , Bantotal y SQL Herramientas no técnicas: Trabajo en equipo Comunicación Eficaz Benefici",Cercado De Lima,Híbrido
